topic_word_total8,新车上市,品牌战略,产品规划,车型测试,消费者口碑营销,产品性能
SUV,1,1,1,1,1,1
发动机,1,1,1,1,1,1
动力,1,1,1,1,1,1
新能源,1,1,1,1,1,1
消费者,1,1,1,1,1,1
涡轮增压,1,60,40,1,1,1
豪华,1,50,60,1,25,1
中控,1,1,25,1,1,1
马力,1,1,1,45,35,1
续航里程,1,1,35,1,1,45
赛车,25,1,1,100,1,1
汉密尔顿,1,1,1,1,1,1
空调,1,1,1,1,1,1
智能,20,30,56,21,32,23
塔斯,1,1,1,1,1,1
LED,1,1,1,1,1,1
刹车,1,1,1,80,1,1
维特,1,1,1,1,1,1
1.5T,20,1,45,45,1,23
进气格栅,1,1,1,1,1,21
镀铬,1,1,1,1,23,1
座椅,1,1,1,65,10,10
尾部,1,1,1,45,10,10
上汽,1,45,1,1,1,1
尾灯,1,1,1,1,1,1
纯电动,1,1,1,32,32,32
变速器,1,1,1,65,55,45
莱科宁,1,1,1,1,1,1
金彭,1,45,1,1,1,1
跑车,22,1,1,1,1,1
汽油,1,1,1,45,23,45
国产,23,1,1,1,1,1
家族,75,25,1,1,1,1
家族式,75,1,1,1,1,1
HS,45,1,1,1,1,1
大灯,1,1,1,1,43,43
中控台,1,1,1,1,34,45
科技感,75,56,56,1,23,1
年轻人,15,1,1,1,1,1
补贴,1,1,56,1,60,1
燃油,28,1,34,45,70,1
黑色,1,1,1,1,1,1
线条,1,1,1,1,1,1
2.0T,23,32,43,45,43,32
变速箱,1,1,34,45,34,70
车尾,1,1,1,1,1,1
T5,1,1,1,1,1,1
机油,1,1,1,45,1,70
定位,76,45,56,1,1,1
时尚,34,43,34,1,1,1
年轻,43,50,45,1,1,1
电动车,23,56,76,1,1,1
排位赛,1,1,1,100,1,1
MARVEL,45,1,1,1,1,1
保险杠,1,1,1,1,1,70
维斯塔,1,1,1,1,1,1
油耗,1,1,56,1,70,45
荣威光,45,1,1,1,1,1
速派,1,1,1,1,1,1
格栅,1,1,1,1,1,1
越野,1,23,32,1,1,1
广汽,1,45,1,1,1,1
底盘,1,1,1,45,23,34
视觉效果,1,1,1,1,1,1
北汽,1,45,1,1,1,1
里卡多,1,1,1,1,1,1
世界杯,1,60,1,1,90,1
GT,1,1,56,1,1,1
天窗,1,1,1,1,1,1
悬浮式,1,1,1,1,1,1
高端,23,56,45,1,1,1
AT,1,1,1,1,1,1
质感,1,1,1,1,1,1
视觉,1,1,1,1,1,32
装饰,1,1,1,1,1,56
车载,1,1,23,1,1,35
Q3,1,1,1,1,1,1
设计语言,75,1,56,1,1,1
多功能,1,1,1,1,1,1
颜值,75,1,1,1,1,1
杆位,1,1,1,1,1,1
博越,1,1,1,1,1,1
雅阁,1,1,1,1,1,1
F1,1,1,1,1,1,1
出风口,1,1,1,1,34,45
运动感,1,1,1,1,56,1
探歌,1,1,1,1,1,1
概念车,1,34,56,1,1,1
1.5L,1,1,1,1,1,1
帝豪GS,1,1,1,1,1,1
迈腾,1,1,1,1,1,1
车联网,1,45,67,1,1,1
电动机,1,1,1,1,34,45
乘用车,1,1,1,1,1,1
舒适,1,53,1,1,1,1
SUV市场,1,32,45,1,23,1
柯米克,1,1,1,1,1,1
梅赛德斯,1,45,1,1,1,1
RX,1,1,1,1,1,1
CS75,1,1,1,1,1,1
自动驾驶,1,56,1,1,1,1
豪车,1,46,1,1,1,1
红旗,1,34,1,1,1,1
混合动力,1,67,1,1,1,1
省油,1,1,1,45,70,1
互联网,1,56,1,1,1,1
关税,1,1,1,1,1,1
2.0升,1,1,1,1,1,1
显示屏,1,1,1,1,1,1
耐力赛,1,1,1,100,1,1
荣威RX8,68,1,1,25,1,1
Plus,56,1,1,1,1,1
四驱系统,45,1,1,1,1,1
皮卡,1,1,1,1,1,1
